"Name","Squad","Points","Kills","Deaths","Play Seconds","MVP Score","GB Wins","GB Losses","GB Goals","GB Assists","GB Catches","GB Steals","GB Passes","GB Fumbles","GB-Carry Time","GB Saves","GB Pinches"
included,Legendary,6390,8,6,1201,745,1,0,0,1,16,1,19,0,118,0,0
Airb0rne,Legendary,5500,7,10,1201,639,1,0,0,0,12,3,16,0,81,0,0
ROODY,etc,2753,10,5,1201,623,0,1,0,0,11,2,13,1,92,0,0
Pandoras Box,Legendary,5227,6,14,1201,604,1,0,1,0,11,3,12,1,95,0,0
papa,Legendary,5114,4,9,1201,599,1,0,0,1,19,1,17,2,127,0,0
yeahboy,Legendary,4450,10,9,1201,511,1,0,0,0,22,0,15,4,78,0,0
Lund-Slapper,etc,2141,14,8,1201,480,0,1,0,0,9,0,9,1,54,0,0
jello,etc,2072,12,6,1201,470,0,1,0,0,7,1,8,0,41,0,0
Quizno,Legendary,3800,10,12,1201,438,1,0,1,0,10,0,8,1,56,0,0
Gary,etc,1962,11,9,1200,436,0,1,0,0,10,1,8,1,51,0,0
Kollision,etc,1808,6,8,1201,402,0,1,0,0,8,3,7,4,67,0,0
Seth,etc,1522,7,9,1201,351,0,1,0,0,8,1,8,1,50,0,0
Serjical Strike,Dads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geek,Dads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug227,PlanetExpress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noto+,Samurai Pizza Cats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGBL[Ref] Gambler,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yumy,Malice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allustrious,Dads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Realm,Malice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaki,PlanetExpress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooldaw13,Hooligans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
