"Name","Squad","Points","Kills","Deaths","Play Seconds","MVP Score","GB Wins","GB Losses","GB Goals","GB Assists","GB Catches","GB Steals","GB Passes","GB Fumbles","GB-Carry Time","GB Saves","GB Pinches"
Slick,bittersweet,141,7,5,788,347,0,0,0,0,5,1,7,0,38,0,0
super'radish,bittersweet,116,5,6,788,269,0,0,0,0,7,2,5,4,32,0,0
Brendon Kozlowski,Klesko,89,7,4,753,465,0,0,0,0,8,2,10,1,52,0,0
Free Style~,Klesko,85,5,2,788,181,0,0,0,0,3,0,3,0,26,0,0
Siagon09,bittersweet,83,3,6,787,58,0,0,0,0,2,0,1,1,13,0,0
Buddha Ears,Klesko,82,4,3,788,331,0,0,0,0,4,2,6,0,48,0,0
drdavee,bittersweet,74,4,4,787,282,0,0,0,0,4,2,5,1,32,0,0
Cosmo.,Klesko,57,2,6,788,287,0,0,0,0,14,0,11,2,71,0,0
Hot Rodster,The Alliance \G/,42,3,4,625,202,0,0,0,0,6,1,4,2,48,0,0
Airb0rne,MaYh3m,35,5,2,787,370,0,0,0,0,8,1,8,1,76,0,0
SpioMabio,Klesko,28,2,6,788,337,0,0,0,0,10,2,10,3,55,0,0
etinobe,bittersweet,20,3,0,787,291,0,0,0,0,5,2,5,0,34,0,0
Krayzie One,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teqnikal diffikultiez,bittersweet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaki,Rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ttocs,Klesko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Requin,Godsend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardware,bittersweet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ichibani,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGBL[Ref]_Bishman,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JinpuSui,Klesko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Search,Elite Gravers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HavoC?,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zoobooz,Elite Gravers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ForMac,Rephlexion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darkness,Klesko,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
P*RNSTAR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psionics,Rephlexion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JoKe69KiLLer,Rephlexion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cinder..,Rephlexion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big-Sexy,Rephlexion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jago..,Rephlexion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL-,Gamblers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
