"Name","Squad","Points","Kills","Deaths","Play Seconds","MVP Score","GB Wins","GB Losses","GB Goals","GB Assists","GB Catches","GB Steals","GB Passes","GB Fumbles","GB-Carry Time","GB Saves","GB Pinches"
Iron Awe,Samurai Pizza Cats,4745,9,1,934,693,1,0,1,1,10,2,10,1,81,0,0
Destroy,Samurai Pizza Cats,4056,4,3,934,595,1,0,0,1,15,2,15,3,94,0,0
Homus,Samurai Pizza Cats,3892,14,0,934,560,1,0,0,0,7,1,8,0,59,0,0
Basara,Samurai Pizza Cats,3672,10,1,934,524,1,0,1,0,6,1,7,0,52,0,0
Ak1,Samurai Pizza Cats,3486,10,5,934,499,1,0,0,1,5,2,6,1,46,0,0
cooldaw13,,1839,4,8,935,482,0,1,0,0,12,1,15,1,99,0,0
xius,Samurai Pizza Cats,2589,4,5,934,381,1,0,1,0,13,0,9,1,70,0,0
PT,Gamblers,1045,2,4,934,295,0,1,0,0,12,1,9,3,70,0,0
Brendon Kozlowski,Gamblers,783,2,9,934,214,0,1,0,0,8,2,5,2,39,0,0
Forefall,Gamblers,793,6,11,934,212,0,1,0,0,2,2,2,2,23,0,0
Hellcat+,Gamblers,617,1,10,934,178,0,1,0,0,7,0,8,0,47,0,0
Philek,Gamblers,242,1,10,934,50,0,1,0,0,3,0,3,0,19,0,0
x-wing-,Samurai Pizza Cats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plareplane,Samurai Pizza Cats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGBL[Ref]_Seth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devils,Rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rascal.,Samurai Pizza Cats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teqnikal diffikultiez,bittersweet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jukage,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mnogotochie,Rephlexion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crimson,Lowdown 4 Life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brody,Rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuck,Samurai Pizza Cats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beelzebub,Samurai Pizza Cats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PeterDLai,Samurai Pizza Cats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slick,bittersweet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Requital,Elite Gravers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
etinobe,bittersweet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yummyvermin,Godsend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardware,bittersweet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desperado23,Graver's Edge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishman,Rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airb0rne,bittersweet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambler,Rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fila,Graver's Edge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
