"Name","Squad","Points","Kills","Deaths","Assist Points","Play Seconds","MVP Score","Wins","Losses","Goals","Assists","Catches","Steals","Passes","Fumbles","Carry Time","Saves","Pinches"
brane,Tilde,961189,1617,1191,27743,231640,128042,120,71,64,93,2152,510,2169,435,22687,23,2
USS-San Fransisco,Desert Ballers,790144,2157,1102,21410,177970,112211,98,57,81,54,1471,440,1436,315,13577,11,0
Nostradamus~,Still Fly,719854,1530,881,17763,137543,94996,97,35,53,64,1443,286,1555,261,15230,7,1
Saw Dumb Me,,699331,1242,1173,21749,176568,92941,89,66,74,51,1496,360,1601,401,16527,9,3
Rally Girl,,687638,794,914,20641,175748,95698,84,62,67,55,1856,331,1963,339,19348,32,0
Famous Anus,Mafia,678670,1305,1012,17764,148857,87528,82,37,53,42,1406,318,1473,312,14861,10,2
An'Dragon,Desert Ballers,669037,1179,1703,28189,212536,87646,85,98,42,52,1856,361,1613,353,15108,16,2
ding-a-ling,,642612,1055,1050,20000,175413,88050,120,50,144,43,1683,306,1470,414,15551,7,3
dizzeguy,Mafia,613111,874,1013,17973,131919,83436,65,45,43,60,1429,340,1596,345,16456,5,0
Lunatic,,550120,1315,1175,19683,149049,77243,79,62,49,49,1393,305,1223,281,10251,7,2
SCU,Pureity,548166,1067,849,14603,117204,74647,61,43,65,43,1117,260,1211,263,12814,7,0
Krazikarl,Tilde,541653,759,1138,18393,125106,69731,51,52,35,44,1366,267,1423,339,14238,2,0
Good Game.,RB PowerPlay,507153,1067,1079,17027,164173,70330,71,81,40,36,1330,283,1169,279,11636,8,1
NedStark,Winterfell,500355,1073,871,14021,106438,61845,50,32,31,23,944,176,1052,180,9887,10,0
Acid,,498234,739,1105,19397,160747,80147,99,48,95,57,1639,287,1512,320,15880,13,2
ToTaLlY AnOnYmOuS,RB PowerPlay,472180,871,1218,15235,151025,65656,57,86,49,29,1314,306,1136,349,11478,7,0
Accident,Fisted,463405,707,600,12580,110511,57789,48,39,47,24,1011,214,1039,215,10381,8,0
OneNeutrino,RB PowerPlay,450412,767,705,14447,134673,57423,49,54,44,16,939,270,967,252,9741,3,2
The Black One,Desert Ballers,448819,974,731,13874,120575,66033,54,52,62,33,1017,285,952,276,10007,17,0
DonPedro,,415814,1078,739,12576,118794,57929,59,38,61,23,986,217,782,272,8115,3,0
Agent K1,Blackthorne,411811,911,692,10506,84368,58207,44,31,42,31,789,210,924,154,9054,2,0
Cradle2Grave,RB PowerPlay,395680,1065,784,11822,127457,53572,62,48,10,32,747,207,783,193,7749,1,2
Kura,Sand,385625,1005,890,11668,86801,48097,36,31,22,15,745,205,682,173,5600,2,1
babylon5,Desert Ballers,365712,991,588,9982,82175,48548,36,24,17,20,677,177,675,140,6382,3,0
Heeheeheee,,363529,945,776,13512,111005,49100,45,45,24,17,666,196,700,194,7131,5,0
Exile...,Desert Ballers,353968,824,1118,15546,124472,63320,58,54,49,35,1093,299,1046,273,10270,15,1
Crazy Lil ButtGoblin,,345005,718,601,9423,87100,47037,50,26,39,33,733,159,744,169,7702,5,0
Quidam,Prometheatrics,339996,999,831,11504,115457,50355,52,60,18,21,883,180,758,171,7228,4,1
Free,Sand,323753,643,669,10466,78682,44013,42,35,40,18,733,166,714,164,6963,12,0
DISASTER,,305612,694,515,9457,65570,39763,36,23,15,19,722,147,652,133,5790,1,0
Nebsy,Sprafer's Paradise,265396,678,659,7089,82221,37664,44,37,20,15,562,148,547,153,6260,5,0
Konceptor,,263661,519,730,11902,87892,36991,36,30,18,12,692,197,631,182,5981,5,1
Sylent Stalker,,260686,561,622,10144,73387,32365,39,20,22,17,625,109,554,173,5096,5,1
10,,256158,355,449,7412,60997,39682,36,23,42,21,679,149,747,158,8227,8,1
1 Man Went to Mow,,249511,592,406,8742,67534,31779,30,32,17,14,537,100,491,116,5093,0,0
Burseg,Burseg,248771,547,474,7613,58377,34248,44,10,26,25,604,114,555,112,5087,5,1
Hifalutin,,239589,588,798,12569,91269,36774,40,28,15,18,697,155,655,190,6369,2,2
Keyser Soze!!!,,235755,602,616,9039,74287,31359,30,32,8,18,577,114,539,120,4071,1,1
Datah,Maria,222163,347,422,7984,51995,35492,25,17,19,17,562,139,720,124,7248,1,0
ZzxXzAzXxzZ,Sex 'n Beer,216069,397,359,5378,51986,33659,34,14,37,22,567,137,559,151,6117,2,1
Stabbed,,206588,559,438,6935,57130,31376,36,11,31,14,477,124,417,139,4964,2,1
A_k,king,205216,428,291,5819,47969,26791,26,17,11,14,393,83,469,83,4400,2,0
Micman7,Micmen,183996,430,947,11656,133179,29429,38,73,26,11,685,156,495,230,4336,18,0
Space Garbage,,176345,467,813,8768,84647,21618,27,56,5,3,325,108,322,103,2961,4,0
T O R N,RB PowerPlay,174713,454,403,5193,61730,23748,26,31,12,11,394,83,359,108,3648,3,0
Soup!,,172686,475,272,4455,42201,20224,21,18,14,11,258,64,237,62,2117,1,0
Bo0Ya!,,170722,333,344,7364,50579,23028,20,25,1,12,434,96,417,76,3987,3,0
KiWiZ,,168485,337,391,5561,46664,24271,15,20,12,9,427,93,435,106,4624,4,0
7hm-,Blackthorne,165904,349,424,6311,56208,24325,26,22,10,12,454,90,465,97,4181,3,1
Broker,,159231,459,566,6522,55308,23609,20,27,5,10,459,84,389,76,3836,1,1
l_X_l,,158879,358,357,5200,45182,20903,20,24,17,8,344,76,328,76,3144,4,1
SpireSphere,,157043,424,483,4889,42879,19040,17,21,3,5,286,63,305,72,2766,0,0
Buzzzy,,151499,466,440,5831,51832,21816,16,27,9,9,371,76,342,65,2535,0,1
WouldYouLikeToSuperSizeThat,,150316,363,386,5641,48951,20663,23,22,9,8,346,88,308,98,3364,5,0
StickiCyd,,147664,434,391,5157,52313,20770,19,18,8,6,311,70,295,69,2986,5,0
Dr. Shade,Desert Ballers,146461,334,420,5732,48588,20419,19,19,7,11,385,73,365,91,3853,0,1
Live^Wire,,145827,356,308,3905,45801,20932,17,19,13,14,313,73,317,79,3250,4,0
Positive (-),Desert Ballers,144040,343,348,6161,61930,22379,22,42,3,20,444,91,385,121,4174,1,1
PepsiVanilla,,139763,379,287,4560,41993,19111,18,15,5,6,266,76,280,51,2470,2,0
Sillyness,Desert Ballers,135664,306,326,4916,40982,18026,20,14,15,8,314,75,271,78,2555,5,1
Statistic,,134197,334,164,2954,28857,15805,11,15,6,3,254,42,232,51,2324,3,0
Tri-tone,Messengers,132864,365,508,5520,46248,16461,19,19,4,5,261,49,276,73,2510,2,0
Xerec,Hardcore Fleet!,132675,348,411,4812,44615,20246,11,26,5,10,287,89,324,75,3313,0,0
Deadly Addiction,,131967,376,355,4687,37568,18771,22,16,5,12,282,70,272,65,2781,0,0
MooChunks,,129638,316,312,4887,36924,18964,14,15,11,11,282,78,288,68,2864,2,0
a shot,Woopsy Daisy,127775,280,297,3798,34769,18950,19,19,14,9,341,67,320,80,3454,2,0
Charlie Hustle,,126274,264,251,3481,32225,16861,18,8,11,9,271,54,293,45,2569,2,0
Deluk,RB PowerPlay,125276,341,310,4532,36876,17116,20,11,4,9,254,60,260,67,2644,3,1
ID&T,Ghost Ballers,124981,244,246,3836,37325,16498,20,14,9,5,275,61,287,77,3162,2,0
MIST00K,Pureity,121741,258,196,3667,30298,16695,17,14,19,5,264,63,252,72,2666,2,0
IAAT,,121491,286,299,4542,34438,18754,14,14,5,12,314,79,323,76,2924,3,0
Cain 5,,119475,309,304,4280,38166,17016,14,12,4,7,256,66,259,72,2715,6,0
Sound&Fury,,114558,308,258,3648,40306,17493,23,10,17,17,272,58,245,70,2609,1,1
afk4life,,111834,243,301,3655,34052,16191,19,20,12,16,272,58,273,58,2491,0,0
Happy',RB PowerPlay,105828,268,353,3558,34851,13476,13,18,1,4,281,44,233,55,2296,2,0
SCREAM01,Hardcore Fleet!,105774,317,251,4695,42157,20524,18,17,10,13,395,65,370,84,3403,1,0
Blood,Rift Ball,99817,202,223,3450,26772,13452,14,7,10,5,237,35,259,53,2447,3,1
BadVoodoo,,97870,297,303,3172,57901,15018,26,32,2,6,223,64,222,62,2232,2,0
ss,Blackthorne,96624,196,153,2184,22173,16060,18,6,20,14,211,70,244,50,2475,2,2
ruffryder6968,,94307,207,521,5700,65981,13786,19,41,3,5,339,64,276,108,2792,4,0
Charade,,93016,320,280,3432,30562,12389,16,16,5,2,157,40,151,45,1340,3,0
Parcheezee,,89520,208,349,5250,57255,11690,17,40,4,7,239,59,191,76,1698,2,0
g0dless~,RB PowerPlay,88672,203,199,3991,30666,11366,14,20,6,10,239,37,184,47,1698,0,0
5th Regiment,,87740,132,139,2240,23452,10497,16,6,11,3,210,42,180,56,1958,2,0
Defied!,,87246,167,187,3283,25873,11460,8,14,4,7,221,50,216,60,1910,0,1
GuySki,ExPilots,80228,182,130,2349,21060,11297,9,10,8,9,182,35,177,58,2120,0,0
space herpe,,77980,151,217,3427,26641,8948,6,19,1,3,176,29,172,33,1642,1,0
Z-BEST,,77437,195,130,1931,22497,11550,10,12,8,8,181,40,169,44,1853,1,0
Donny Don't,,75614,213,188,2528,23257,11546,10,12,7,8,201,45,174,38,1404,0,0
Fafurian,,73127,162,105,2561,18482,10028,8,8,4,6,134,49,140,37,1473,1,0
obi~wan.,,72849,265,322,3476,35144,11059,12,20,2,5,135,51,139,42,1195,1,0
Lusus Naturae,,69832,160,137,2352,16798,8854,10,4,5,4,138,29,139,21,1265,1,0
GhostBuster,Pureity,68470,152,205,3499,26068,11458,6,12,2,5,212,46,221,47,2186,2,0
McOwnT,,67880,129,120,1742,13703,10085,8,3,9,7,151,48,161,39,1615,1,1
blast hornet,Pureity,67864,156,156,1767,13817,8906,12,6,6,6,133,36,128,34,1288,1,0
P H O E N ! X,,64059,134,129,1881,20639,10252,13,9,12,9,155,39,158,32,1586,1,0
GoodFight2Win,,63373,92,127,1937,16648,8675,4,8,7,2,131,36,167,33,1691,1,0
Lady Stardust,,57319,139,152,2331,24911,9044,10,7,2,4,169,36,160,29,1520,1,0
Mumbo Jumbo Me,,53827,117,265,3507,42677,10627,18,16,17,10,253,51,170,80,1748,4,0
IamnotCC,,53355,140,132,1532,13231,6235,4,8,0,3,79,23,90,22,866,0,0
